time,lang,code-time,code-len,submission-id
2021-04-28 11:51:07,C++,0.07,823 ch.,2058727
2021-04-28 13:45:01,C++,0.19,828 ch.,2059313
2021-04-28 14:57:20,C++,0.19,1131 ch.,2059723
2021-04-28 16:34:27,C++,0.23,824 ch.,2060291
2021-04-28 18:23:35,C++,0.1,808 ch.,2060979
2021-04-29 20:16:42,C++,0.03,568 ch.,2067015
2020-06-22 11:25:22,C++,0.26,1469 ch.,577925
2021-04-29 20:30:35,C++,0.27,625 ch.,2067069
2021-04-29 20:32:01,C++,0.11,605 ch.,2067077
2021-04-29 20:43:30,C++,0.02,685 ch.,2067112
2021-05-01 19:51:22,C++,0.03,909 ch.,2076515
2021-05-01 20:10:41,C++,0.09,678 ch.,2076594
2021-05-01 20:31:00,C++,0.05,1007 ch.,2076692
2021-05-01 22:38:50,C++,0.03,844 ch.,2077203
2021-05-11 18:20:46,C++,0.4,933 ch.,2131765
2021-05-11 18:29:55,C++,0.31,782 ch.,2131812
2021-05-11 18:49:27,C++,0.02,765 ch.,2131947
2021-05-11 19:11:10,C++,0.58,1059 ch.,2132124
2021-05-11 19:33:13,C++,0.04,725 ch.,2132252
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
2020-06-28 10:16:48,C++,0.06,2178 ch.,611031
2020-06-28 10:42:01,C++,0.12,3034 ch.,611134
2020-06-28 10:58:56,C++,0.12,1719 ch.,611193
2020-06-28 11:06:03,C++,0.1,1868 ch.,611214
2020-06-28 11:15:02,C++,0.12,1684 ch.,611251
2020-06-28 11:41:46,C++,0.12,2008 ch.,611372
2020-06-28 13:31:30,C++,0.23,2996 ch.,611931
2020-06-28 13:55:50,C++,0.22,1689 ch.,612087
2020-06-28 14:23:55,C++,0.37,1658 ch.,612258
NaN,NaN,NaN,NaN,NaN
2020-06-29 11:20:40,C++,0.38,1932 ch.,616811
NaN,NaN,NaN,NaN,NaN
